actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
408,PT09M19.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,68.0,51.0,0,v,Edgecombe Traveling Turnover (P2.T10),Turnover,Traveling,1,0,294,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
409,PT09M01.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-112,131,17,Made,1,70.0,51.0,121,h,Brown 17' Fadeaway Jumper (12 PTS),Made Shot,Fadeaway Jump Shot,1,2,295,51-70,51-68,19.0,1,False,2.0,0.0,HOME,2.0
410,PT08M39.00S,3,1610612755,PHI,202331,George,P. George,-157,217,27,Made,1,70.0,54.0,124,v,George 27' 3PT Step Back Jump Shot (15 PTS),Made Shot,Step Back Jump shot,1,3,296,54-70,51-70,16.0,1,False,0.0,3.0,AWAY,3.0
411,PT08M24.00S,3,1610612738,BOS,1628401,White,D. White,124,250,28,Made,1,73.0,54.0,127,h,White 28' 3PT Jump Shot (10 PTS) (Brown 3 AST),Made Shot,Jump Shot,1,3,297,54-73,54-70,19.0,1,False,3.0,0.0,HOME,3.0
413,PT08M02.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-38,113,12,Made,1,73.0,56.0,129,v,Edgecombe 12' Pullup Jump Shot (11 PTS) (Drummond 2 AST),Made Shot,Pullup Jump shot,1,2,298,56-73,54-73,17.0,1,False,0.0,2.0,AWAY,2.0
415,PT07M53.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,-71,247,26,Missed,1,73.0,56.0,0,h,MISS Tatum 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,299,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
416,PT07M52.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,73.0,56.0,0,v,Oubre Jr. REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,300,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
417,PT07M42.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,25,5,3,Missed,1,73.0,56.0,0,v,MISS Oubre Jr. 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,301,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
418,PT07M41.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,73.0,56.0,0,v,Oubre Jr. REBOUND (Off:1 Def:4),Rebound,Unknown,1,0,302,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
419,PT07M41.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,Made,1,73.0,58.0,131,v,Oubre Jr. Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,1,2,303,58-73,56-73,15.0,1,False,0.0,2.0,AWAY,2.0
420,PT07M12.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,235,37,24,Missed,1,73.0,58.0,0,h,MISS Tatum 24' 3PT Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,3,304,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
421,PT07M12.00S,3,0,,1610612738,,,0,0,0,,0,73.0,58.0,0,h,CELTICS Rebound,Rebound,Unknown,1,0,305,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
422,PT07M12.00S,3,0,,1610612738,,,0,0,0,,0,73.0,58.0,0,h,CELTICS Turnover: Shot Clock (T#7),Turnover,Shot Clock Turnover,1,0,306,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
423,PT07M00.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-131,222,26,Missed,1,73.0,58.0,0,v,MISS Oubre Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,307,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
424,PT06M58.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,73.0,58.0,0,h,Vucevic REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,308,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
426,PT06M45.00S,3,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,73.0,58.0,0,h,SUB: Pritchard FOR Hauser,Substitution,,0,0,309,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
428,PT06M33.00S,3,1610612738,BOS,1627759,Brown,J. Brown,7,156,16,Missed,1,73.0,58.0,0,h,MISS Brown 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,310,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
429,PT06M32.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,73.0,58.0,0,v,Drummond REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,311,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
430,PT06M30.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,73.0,58.0,0,v,Drummond Bad Pass Turnover (P2.T11),Turnover,Bad Pass,1,0,312,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
430,PT06M30.00S,3,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,73.0,58.0,0,h,Brown STEAL (2 STL),,,1,0,313,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
432,PT06M24.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-45,274,28,Made,1,76.0,58.0,134,h,Brown 28' 3PT Jump Shot (15 PTS) (Pritchard 4 AST),Made Shot,Jump Shot,1,3,314,58-76,58-73,18.0,1,False,3.0,0.0,HOME,3.0
434,PT06M05.00S,3,1610612755,PHI,202331,George,P. George,112,180,21,Missed,1,76.0,58.0,0,v,MISS George 21' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,315,58-76,58-76,18.0,1,False,0.0,0.0,,0.0
435,PT06M04.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,76.0,58.0,0,h,Vucevic REBOUND (Off:0 Def:5),Rebound,Unknown,1,0,316,58-76,58-76,18.0,1,False,0.0,0.0,,0.0
436,PT05M56.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,146,225,27,Made,1,79.0,58.0,137,h,Vucevic 27' 3PT Jump Shot (3 PTS) (White 4 AST),Made Shot,Jump Shot,1,3,317,58-79,58-76,21.0,1,False,3.0,0.0,HOME,3.0
438,PT05M55.00S,3,0,,1610612755,,,0,0,0,,0,79.0,58.0,0,v,76ers Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0,0,318,58-79,58-79,21.0,1,False,0.0,0.0,,0.0
441,PT05M39.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-67,122,14,Missed,1,79.0,58.0,0,v,MISS Edgecombe 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,319,58-79,58-79,21.0,1,False,0.0,0.0,,0.0
442,PT05M37.00S,3,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,79.0,58.0,0,h,Pritchard REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,320,58-79,58-79,21.0,1,False,0.0,0.0,,0.0
443,PT05M24.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,-1,5,1,Made,1,81.0,58.0,139,h,Tatum 1' Driving Layup (23 PTS),Made Shot,Driving Layup Shot,1,2,321,58-81,58-79,23.0,1,False,2.0,0.0,HOME,2.0
444,PT05M02.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,-29,84,9,Missed,1,81.0,58.0,0,v,MISS Maxey 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,322,58-81,58-81,23.0,1,False,0.0,0.0,,0.0
445,PT05M00.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,81.0,58.0,0,h,Vucevic REBOUND (Off:0 Def:6),Rebound,Unknown,1,0,323,58-81,58-81,23.0,1,False,0.0,0.0,,0.0
446,PT04M51.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-6,6,1,Made,1,83.0,58.0,141,h,Brown 1' Cutting Dunk Shot (17 PTS) (White 5 AST),Made Shot,Cutting Dunk Shot,1,2,324,58-83,58-81,25.0,1,False,2.0,0.0,HOME,2.0
448,PT04M33.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,83.0,58.0,0,h,Tatum S.FOUL (P1.T2) (P.Fraher),Foul,Shooting,1,0,325,58-83,58-83,25.0,1,False,0.0,0.0,,0.0
450,PT04M33.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,83.0,59.0,142,v,George Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,1,0,326,59-83,58-83,24.0,1,False,0.0,1.0,AWAY,1.0
451,PT04M33.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,83.0,59.0,0,v,SUB: Grimes FOR Drummond,Substitution,,0,0,327,59-83,59-83,24.0,1,False,0.0,0.0,,0.0
452,PT04M33.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,83.0,59.0,0,v,SUB: Bona FOR Oubre Jr.,Substitution,,0,0,328,59-83,59-83,24.0,1,False,0.0,0.0,,0.0
455,PT04M33.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,83.0,60.0,143,v,George Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,1,0,329,60-83,59-83,23.0,1,False,0.0,1.0,AWAY,1.0
456,PT04M13.00S,3,1610612738,BOS,1628401,White,D. White,233,35,24,Missed,1,83.0,60.0,0,h,MISS White 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,330,60-83,60-83,23.0,1,False,0.0,0.0,,0.0
457,PT04M12.00S,3,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,83.0,60.0,0,v,Grimes REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,331,60-83,60-83,23.0,1,False,0.0,0.0,,0.0
458,PT04M07.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-5,8,1,Made,1,83.0,62.0,145,v,Edgecombe 1' Running Dunk (13 PTS) (Grimes 1 AST),Made Shot,Running Dunk Shot,1,2,332,62-83,60-83,21.0,1,False,0.0,2.0,AWAY,2.0
460,PT03M52.00S,3,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,83.0,62.0,0,v,Grimes P.FOUL (P1.T2) (T.Maddox),Foul,Personal,1,0,333,62-83,62-83,21.0,1,False,0.0,0.0,,0.0
462,PT03M46.00S,3,1610612738,BOS,1627759,Brown,J. Brown,21,7,2,Made,1,85.0,62.0,147,h,Brown 2' Driving Layup (19 PTS) (Tatum 5 AST),Made Shot,Driving Layup Shot,1,2,334,62-85,62-83,23.0,1,False,2.0,0.0,HOME,2.0
463,PT03M36.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,25,33,4,Made,1,85.0,64.0,149,v,Maxey 4' Driving Layup (16 PTS) (Edgecombe 3 AST),Made Shot,Driving Layup Shot,1,2,335,64-85,62-85,21.0,1,False,0.0,2.0,AWAY,2.0
464,PT03M36.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,85.0,64.0,0,h,Vucevic S.FOUL (P4.T3) (T.Maddox),Foul,Shooting,1,0,336,64-85,64-85,21.0,1,False,0.0,0.0,,0.0
467,PT03M36.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,85.0,64.0,0,h,SUB: Walsh FOR Tatum,Substitution,,0,0,337,64-85,64-85,21.0,1,False,0.0,0.0,,0.0
468,PT03M36.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,85.0,64.0,0,h,SUB: Garza FOR Vucevic,Substitution,,0,0,338,64-85,64-85,21.0,1,False,0.0,0.0,,0.0
471,PT03M36.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,85.0,64.0,0,v,SUB: Barlow FOR George,Substitution,,0,0,339,64-85,64-85,21.0,1,False,0.0,0.0,,0.0
473,PT03M36.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,85.0,65.0,150,v,Maxey Free Throw 1 of 1 (17 PTS),Free Throw,Free Throw 1 of 1,1,0,340,65-85,64-85,20.0,1,False,0.0,1.0,AWAY,1.0
475,PT03M17.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-55,103,12,Missed,1,85.0,65.0,0,h,MISS Brown 12' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,341,65-85,65-85,20.0,1,False,0.0,0.0,,0.0
476,PT03M15.00S,3,0,,1610612738,,,0,0,0,,0,85.0,65.0,0,h,CELTICS Rebound,Rebound,Unknown,1,0,342,65-85,65-85,20.0,1,False,0.0,0.0,,0.0
477,PT03M15.00S,3,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,85.0,65.0,0,v,Grimes L.B.FOUL (P2.T3) (T.Maddox),Foul,Loose Ball,1,0,343,65-85,65-85,20.0,1,False,0.0,0.0,,0.0
479,PT03M02.00S,3,1610612738,BOS,1630568,Garza,L. Garza,134,225,26,Missed,1,85.0,65.0,0,h,MISS Garza 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,344,65-85,65-85,20.0,1,False,0.0,0.0,,0.0
480,PT03M00.00S,3,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,85.0,65.0,0,h,Garza REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,345,65-85,65-85,20.0,1,False,0.0,0.0,,0.0
481,PT02M55.00S,3,1610612738,BOS,1630202,Pritchard,P. Pritchard,162,211,27,Made,1,88.0,65.0,153,h,Pritchard 27' 3PT Jump Shot (9 PTS) (Garza 1 AST),Made Shot,Jump Shot,1,3,346,65-88,65-85,23.0,1,False,3.0,0.0,HOME,3.0
483,PT02M32.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,163,205,26,Missed,1,88.0,65.0,0,v,MISS Edgecombe 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,347,65-88,65-88,23.0,1,False,0.0,0.0,,0.0
484,PT02M29.00S,3,0,,1610612738,,,0,0,0,,0,88.0,65.0,0,h,CELTICS Rebound,Rebound,Unknown,0,0,348,65-88,65-88,23.0,1,False,0.0,0.0,,0.0
487,PT02M10.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,88.0,65.0,0,v,SUB: Oubre Jr. FOR Edgecombe,Substitution,,0,0,349,65-88,65-88,23.0,1,False,0.0,0.0,,0.0
489,PT02M07.00S,3,1610612738,BOS,1641775,Walsh,J. Walsh,229,51,0,Missed,1,88.0,65.0,0,h,MISS Walsh 3PT Jump Shot,Missed Shot,Jump Shot,1,3,350,65-88,65-88,23.0,1,False,0.0,0.0,,0.0
490,PT02M06.00S,3,0,,1610612738,,,0,0,0,,0,88.0,65.0,0,h,CELTICS Rebound,Rebound,Unknown,0,0,351,65-88,65-88,23.0,1,False,0.0,0.0,,0.0
492,PT02M04.00S,3,1610612738,BOS,1627759,Brown,J. Brown,238,18,24,Made,1,91.0,65.0,156,h,Brown 24' 3PT Jump Shot (22 PTS) (White 6 AST),Made Shot,Jump Shot,1,3,352,65-91,65-88,26.0,1,False,3.0,0.0,HOME,3.0
494,PT01M48.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-5,49,5,Made,1,91.0,67.0,158,v,Oubre Jr. 5' Driving Finger Roll Layup (10 PTS) (Maxey 7 AST),Made Shot,Driving Finger Roll Layup Shot,1,2,353,67-91,65-91,24.0,1,False,0.0,2.0,AWAY,2.0
496,PT01M24.00S,3,1610612738,BOS,1627759,Brown,J. Brown,85,146,17,Made,1,93.0,67.0,160,h,Brown 17' Fadeaway Jumper (24 PTS),Made Shot,Fadeaway Jump Shot,1,2,354,67-93,67-91,26.0,1,False,2.0,0.0,HOME,2.0
497,PT01M12.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,-47,125,13,Made,1,93.0,69.0,162,v,Maxey 13' Driving Floating Jump Shot (19 PTS),Made Shot,Driving Floating Jump Shot,1,2,355,69-93,67-93,24.0,1,False,0.0,2.0,AWAY,2.0
498,PT00M59.70S,3,1610612738,BOS,1630202,Pritchard,P. Pritchard,167,247,30,Missed,1,93.0,69.0,0,h,MISS Pritchard 30' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,356,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
499,PT00M58.70S,3,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,93.0,69.0,0,v,Barlow REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,357,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
500,PT00M48.10S,3,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,93.0,69.0,0,v,Grimes Bad Pass Turnover (P2.T12),Turnover,Bad Pass,1,0,358,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
500,PT00M48.10S,3,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,93.0,69.0,0,h,Pritchard STEAL (1 STL),,,1,0,359,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
502,PT00M43.30S,3,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,93.0,69.0,0,v,Barlow S.FOUL (P1.T4) (S.Foster),Foul,Shooting,1,0,360,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
504,PT00M43.30S,3,1610612738,BOS,1641775,Walsh,J. Walsh,0,0,0,,0,93.0,69.0,0,h,MISS Walsh Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,361,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
505,PT00M43.30S,3,0,,1610612738,,,0,0,0,,0,93.0,69.0,0,h,CELTICS Rebound,Rebound,Normal Rebound,0,0,362,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
506,PT00M43.30S,3,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,93.0,69.0,0,h,SUB: Hauser FOR Garza,Substitution,,0,0,363,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
507,PT00M43.30S,3,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,93.0,69.0,0,v,SUB: Edwards FOR Bona,Substitution,,0,0,364,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
510,PT00M43.30S,3,1610612738,BOS,1641775,Walsh,J. Walsh,0,0,0,,0,93.0,69.0,0,h,MISS Walsh Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,365,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
511,PT00M43.30S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,93.0,69.0,0,v,Oubre Jr. REBOUND (Off:1 Def:5),Rebound,Unknown,1,0,366,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
512,PT00M33.30S,3,1610612755,PHI,1630178,Maxey,T. Maxey,10,194,19,Missed,1,93.0,69.0,0,v,MISS Maxey 19' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,367,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
513,PT00M32.30S,3,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,93.0,69.0,0,h,Pritchard REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,368,69-93,69-93,24.0,1,False,0.0,0.0,,0.0
514,PT00M09.80S,3,1610612738,BOS,1627759,Brown,J. Brown,66,148,16,Made,1,95.0,69.0,164,h,Brown 16' Fadeaway Jumper (26 PTS),Made Shot,Fadeaway Jump Shot,1,2,369,69-95,69-93,26.0,1,False,2.0,0.0,HOME,2.0
515,PT00M00.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,21,36,4,Made,1,95.0,71.0,166,v,Maxey 4' Driving Layup (21 PTS) (Oubre Jr. 1 AST),Made Shot,Driving Layup Shot,1,2,370,71-95,69-95,24.0,1,False,0.0,2.0,AWAY,2.0
517,PT00M00.00S,3,0,,515,,,0,0,0,,0,95.0,71.0,166,,Instant Replay3rd Period (3:04 PM EST),Instant Replay,Support Ruling,0,0,371,71-95,71-95,24.0,1,False,0.0,0.0,,0.0
518,PT00M00.00S,3,0,,0,,,0,0,0,,0,95.0,71.0,166,,End of 3rd Period (3:04 PM EST),period,end,1,0,372,71-95,71-95,24.0,1,False,0.0,0.0,,0.0
527,PT12M00.00S,4,0,,0,,,0,0,0,,0,95.0,71.0,166,,Start of 4th Period (3:08 PM EST),period,start,0,0,373,71-95,71-95,24.0,1,False,0.0,0.0,,0.0
528,PT11M49.00S,4,1610612755,PHI,1629656,Grimes,Q. Grimes,-119,134,18,Made,1,95.0,73.0,168,v,Grimes 18' Turnaround Jump Shot (2 PTS) (Maxey 8 AST),Made Shot,Turnaround Jump Shot,1,2,374,73-95,71-95,22.0,1,False,0.0,2.0,AWAY,2.0
530,PT11M38.00S,4,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,95.0,73.0,0,h,Pritchard OFF.Foul (P2) (S.Foster),Foul,Offensive,1,0,375,73-95,73-95,22.0,1,False,0.0,0.0,,0.0
532,PT11M38.00S,4,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,95.0,73.0,0,h,Pritchard Offensive Foul Turnover (P1.T8),Turnover,Offensive Foul Turnover,1,0,376,73-95,73-95,22.0,1,False,0.0,0.0,,0.0
533,PT11M15.00S,4,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,48,86,10,Missed,1,95.0,73.0,0,v,MISS Edgecombe 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,377,73-95,73-95,22.0,1,False,0.0,0.0,,0.0
534,PT11M14.00S,4,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,95.0,73.0,0,h,Queta REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,378,73-95,73-95,22.0,1,False,0.0,0.0,,0.0
535,PT11M07.00S,4,1610612738,BOS,1630573,Hauser,S. Hauser,176,250,31,Made,1,98.0,73.0,171,h,Hauser 31' 3PT Running Pull-Up Jump Shot (9 PTS) (Tatum 6 AST),Made Shot,Running Pull-Up Jump Shot,1,3,379,73-98,73-95,25.0,1,False,3.0,0.0,HOME,3.0
537,PT10M46.00S,4,1610612755,PHI,1631230,Barlow,D. Barlow,-27,8,3,Missed,1,98.0,73.0,0,v,MISS Barlow 3' Driving Layup,Missed Shot,Driving Layup Shot,1,2,380,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
538,PT10M45.00S,4,1610612738,BOS,1631248,Scheierman,B. Scheierman,0,0,0,,0,98.0,73.0,0,h,Scheierman REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,381,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
539,PT10M36.00S,4,1610612738,BOS,1628369,Tatum,J. Tatum,-148,204,25,Missed,1,98.0,73.0,0,h,MISS Tatum 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,382,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
540,PT10M34.00S,4,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,98.0,73.0,0,h,Hauser REBOUND (Off:1 Def:4),Rebound,Unknown,1,0,383,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
541,PT10M32.00S,4,1610612738,BOS,1630573,Hauser,S. Hauser,-105,234,26,Missed,1,98.0,73.0,0,h,MISS Hauser 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,384,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
542,PT10M31.00S,4,0,,1610612738,,,0,0,0,,0,98.0,73.0,0,h,CELTICS Rebound,Rebound,Unknown,0,0,385,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
544,PT10M23.00S,4,1610612738,BOS,1630202,Pritchard,P. Pritchard,-26,257,26,Missed,1,98.0,73.0,0,h,MISS Pritchard 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,386,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
545,PT10M21.00S,4,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,98.0,73.0,0,v,Edwards REBOUND (Off:3 Def:3),Rebound,Unknown,1,0,387,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
546,PT10M13.00S,4,1610612755,PHI,1642348,Edwards,J. Edwards,-34,29,4,Missed,1,98.0,73.0,0,v,MISS Edwards 4' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,1,2,388,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
547,PT10M12.00S,4,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,98.0,73.0,0,h,Tatum REBOUND (Off:0 Def:10),Rebound,Unknown,1,0,389,73-98,73-98,25.0,1,False,0.0,0.0,,0.0
